2026-07-22 09:45:56 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-22 09:45:56 | INFO     | models.pretraitement | Valeurs manquantes imputées : 217
2026-07-22 09:46:05 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 200 arbres, 123 features
2026-07-22 09:46:05 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.953 precision=0.909 recall=0.953 f1=0.931
2026-07-22 09:47:17 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 09:49:14 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 09:49:16 | INFO     | models.analyse_eda | EDA : 0 colonnes numériques analysées
2026-07-22 09:49:31 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 09:50:21 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 10:46:29 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 10:51:05 | INFO     | models.pipeline_principal | Jeu de données créé depuis une saisie manuelle (Saisie manuelle) : 12 lignes, 4 colonnes
2026-07-22 10:53:01 | INFO     | models.pipeline_principal | Jeu de données créé depuis une saisie manuelle (Saisie manuelle) : 12 lignes, 4 colonnes
2026-07-22 10:53:12 | INFO     | models.analyse_eda | EDA : 3 colonnes numériques analysées
2026-07-22 10:53:19 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 10:53:29 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-22 10:53:29 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-22 10:54:06 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 10:54:06 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 10:57:12 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1mITH3d5XR4j17_JGTZT1DPRufYe12M2UQX3Z9vOg8Oo.csv (227 lignes, 12 colonnes)
2026-07-22 10:57:12 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-22 10:57:56 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1mITH3d5XR4j17_JGTZT1DPRufYe12M2UQX3Z9vOg8Oo.csv (227 lignes, 19 colonnes)
2026-07-22 10:57:56 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 19 colonnes
2026-07-22 11:01:29 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1mITH3d5XR4j17_JGTZT1DPRufYe12M2UQX3Z9vOg8Oo.csv (15 lignes, 14 colonnes)
2026-07-22 11:01:29 | INFO     | models.fichier_excel | JeuDonnees créé : 15 lignes, 14 colonnes
2026-07-22 11:02:30 | INFO     | models.analyse_eda | EDA : 0 colonnes numériques analysées
2026-07-22 11:02:47 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-22 11:02:47 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-22 11:03:13 | INFO     | models.pipeline_principal | Jeu de données créé depuis une saisie manuelle (Saisie manuelle) : 12 lignes, 4 colonnes
2026-07-22 11:03:17 | INFO     | models.analyse_eda | EDA : 3 colonnes numériques analysées
2026-07-22 11:03:24 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 11:03:29 | INFO     | models.analyse_eda | EDA : 3 colonnes numériques analysées
2026-07-22 11:03:36 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 11:05:18 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 0, 'non_utile_total': 0, 'utile_total': 12}
2026-07-22 11:05:18 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-22 11:05:18 | INFO     | models.pretraitement | Valeurs manquantes imputées : 0
2026-07-22 11:06:04 | INFO     | models.pipeline_principal | Jeu de données créé depuis une saisie manuelle (Saisie manuelle) : 12 lignes, 4 colonnes
2026-07-22 11:06:08 | INFO     | models.analyse_eda | EDA : 3 colonnes numériques analysées
2026-07-22 11:06:15 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 11:07:27 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 0, 'doublon': 0, 'valeur_aberrante': 0, 'non_utile_total': 0, 'utile_total': 12}
2026-07-22 11:07:27 | INFO     | models.pretraitement | Doublons supprimés : 0
2026-07-22 11:07:27 | INFO     | models.pretraitement | Valeurs manquantes imputées : 0
2026-07-22 11:07:39 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 200 arbres, 3 features
2026-07-22 11:07:39 | INFO     | models.rapport_evaluation | Évaluation : accuracy=1.000 precision=1.000 recall=1.000 f1=1.000
2026-07-22 11:08:16 | INFO     | models.pipeline_principal | Jeu de données créé depuis une saisie manuelle (Saisie manuelle) : 12 lignes, 4 colonnes
2026-07-22 11:08:19 | INFO     | models.analyse_eda | EDA : 3 colonnes numériques analysées
